iso3,year,cause,sex,all,a00,a01,a05,a10,a15,a20,a25,a30,a35,a40,a45,a50,a55,a60,a65,a70,a75,a80,a85,age,any_year_reason,unk
MEX,2014,640,2,2522,0,0,0,1,1,4,23,39,73,131,157,202,257,275,266,282,293,257,261,0,0,0
MEX,2005,330,1,16,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MEX,2014,682,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,690,1,50,0,0,0,0,0,0,0,0,3,0,2,7,8,5,3,8,4,6,4,0,0,0
MEX,2014,690,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,700,2,3987,0,0,0,0,2,15,56,137,237,328,449,440,418,414,396,312,308,255,217,0,0,3
MEX,2014,700,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,742,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,744,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,745,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,753,2,491,0,0,0,0,0,0,0,3,4,11,22,48,76,84,70,73,52,27,21,0,0,0
MEX,2014,780,2,2870,25,32,39,20,32,41,46,63,74,119,156,202,244,240,272,302,334,313,316,0,0,0
MEX,2012,9008,1,57,0,1,0,1,2,6,5,10,9,4,5,2,0,2,1,1,1,3,3,0,0,1
MEX,2014,870,2,1768,1,1,1,1,1,0,0,1,1,1,6,7,14,32,55,124,245,394,881,0,0,2
MEX,2000,1200,2,5505,56,44,49,64,102,101,116,117,146,158,208,269,317,461,528,528,553,522,1147,0,0,19
MEX,1998,743,1,698,0,0,0,0,3,1,2,4,5,9,16,44,81,95,131,106,94,51,55,0,0,1
MEX,2014,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2009,600,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0
MEX,2014,940,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2002,580,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,980,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,990,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
MEX,2014,1040,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEX,2014,1060,1,9741,0,1,2,7,27,121,79,82,137,191,293,358,534,632,834,1082,1331,1575,2450,0,0,5
MEX,2001,682,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEX,2000,1490,2,8004,652,690,361,357,473,476,431,406,366,343,278,274,277,321,294,326,394,345,871,0,0,69
MEX,2014,1080,2,16721,45,22,11,27,49,65,61,90,155,219,393,518,707,946,1254,1764,2334,2877,5178,0,0,6
MEX,2003,550,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2005,1050,1,370,0,6,1,4,3,9,7,17,17,30,30,25,38,48,30,46,24,18,16,0,0,1
MEX,2003,550,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
MEX,2014,1130,2,677,15,17,5,12,14,12,19,15,17,34,29,26,31,34,49,48,74,85,141,0,0,0
MEX,2017,1370,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1170,2,6347,3,3,2,2,5,16,27,56,120,202,309,507,707,852,939,881,768,512,431,0,0,5
MEX,2001,490,1,10452,10452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1181,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,880,1,686,0,0,0,0,0,2,0,2,3,2,1,9,11,17,57,104,138,149,191,0,0,0
MEX,2014,1230,2,3017,15,6,6,4,9,24,16,32,48,59,108,150,199,248,307,366,376,412,631,0,0,1
MEX,2014,1240,1,1089,9,3,3,4,6,15,9,23,22,30,43,55,88,87,103,96,125,148,218,0,0,2
MEX,2014,1240,2,1566,5,2,2,4,3,9,14,17,20,33,47,65,70,74,128,143,167,240,523,0,0,0
MEX,1998,1100,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
MEX,2014,1290,2,32,0,0,0,0,0,0,0,0,1,0,0,3,0,1,4,5,3,6,9,0,0,0
MEX,2014,1320,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,560,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1340,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,1350,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1340,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,550,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0
MEX,2003,490,1,9991,9991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2000,1580,2,1285,29,47,27,45,140,147,139,129,115,87,72,55,44,51,38,34,22,20,25,0,0,19
MEX,2013,50,2,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
MEX,2014,1370,2,39,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1420,2,1435,999,130,30,42,36,23,16,9,12,10,17,20,16,13,15,10,5,10,22,0,0,0
MEX,2014,1490,2,8321,384,426,231,226,417,481,438,373,343,307,320,341,311,365,363,411,575,615,1354,0,0,40
MEX,2014,1500,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
MEX,2014,1510,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1520,1,2077,10,32,18,21,50,80,88,107,126,160,158,180,176,178,152,158,133,106,124,0,0,20
MEX,2014,1530,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1541,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEX,2014,1550,2,3932,326,152,53,53,85,97,96,80,94,79,79,113,112,150,160,220,368,461,1139,0,0,15
MEX,1998,1380,2,32,8,1,2,1,2,11,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,470,2,85,0,0,0,0,13,22,18,15,10,7,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1620,2,639,31,31,15,30,46,56,52,45,48,40,42,34,22,24,23,19,24,21,18,0,0,18
MEX,1998,1430,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,760,1,1938,14,122,173,178,199,121,120,81,95,82,59,72,85,94,88,107,103,84,58,0,0,3
MEX,2015,0,1,355112,14431,2741,1330,1836,5810,9362,9522,10370,12198,14453,16932,20541,24407,27251,29730,32388,34753,33904,51128,0,0,2025
MEX,2007,1000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,40,2,131,4,0,0,0,2,1,4,6,6,16,11,8,7,15,11,7,12,8,13,0,0,0
MEX,2015,90,1,3837,15,4,2,4,31,240,513,608,628,573,456,301,188,121,50,48,22,10,6,0,0,17
MEX,2015,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,130,1,21,0,0,0,1,1,2,0,3,1,0,2,2,2,0,1,1,1,2,2,0,0,0
MEX,2015,170,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,190,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,200,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,230,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,250,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,630,2,2749,0,1,0,1,4,10,27,47,76,139,170,216,261,262,294,340,327,267,307,0,0,0
MEX,2015,300,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,310,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,10,1,33335,8742,611,195,170,252,569,930,1091,1217,1312,1266,1235,1210,1288,1394,1725,2158,2469,5376,0,0,125
MEX,2006,250,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2010,980,1,13,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,3,5,0,0,0
MEX,2015,430,2,106,0,0,0,1,7,20,24,26,17,10,1,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,430,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,480,2,547,0,0,0,3,73,142,113,105,79,26,5,0,0,0,0,1,0,0,0,0,0,0
MEX,2015,520,9,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,540,2,3542,127,70,24,35,23,18,21,23,23,37,28,53,53,71,99,149,329,505,1852,0,0,2
MEX,2015,550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,550,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,590,9,74,57,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,12
MEX,2015,600,2,39878,39,167,225,248,243,298,413,738,1215,2019,2785,3574,3958,4373,4531,4212,3977,3342,3515,0,0,6
MEX,2015,611,1,424,0,0,1,1,0,1,2,4,11,11,16,37,49,50,52,56,47,44,42,0,0,0
MEX,2008,732,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,680,2,822,0,0,1,1,1,4,8,12,29,32,39,48,41,53,56,49,92,111,245,0,0,0
MEX,2015,700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,720,2,2339,0,1,1,5,7,27,42,47,79,162,222,303,279,284,289,210,177,125,79,0,0,0
MEX,2015,732,1,1445,4,4,7,1,1,7,5,9,17,56,73,125,181,195,231,195,150,111,72,0,0,1
MEX,2015,743,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,750,2,1803,5,3,6,18,18,27,32,48,52,65,84,134,179,216,219,204,213,146,134,0,0,0
MEX,2003,440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,752,2,1118,4,3,4,16,14,15,22,24,39,43,51,90,96,139,117,112,147,85,97,0,0,0
MEX,2004,1060,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
MEX,2003,400,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,770,1,3585,9,45,31,53,113,89,54,86,95,135,166,241,308,360,410,388,396,318,288,0,0,0
MEX,2015,800,1,5190,203,108,41,68,75,86,110,146,176,252,296,298,347,402,411,421,466,475,802,0,0,7
MEX,2015,840,2,57,0,0,0,0,0,1,0,2,2,4,2,2,6,7,7,2,4,6,12,0,0,0
MEX,2015,850,1,1197,45,54,25,41,72,57,84,82,87,78,99,83,74,51,74,36,51,47,55,0,0,2
MEX,2015,870,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,880,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,900,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,910,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,330,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,940,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2001,1610,9,22,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,14
MEX,2016,80,2,157,0,0,0,0,2,5,3,7,9,12,19,10,9,15,16,14,8,13,15,0,0,0
MEX,2015,960,2,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,970,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,980,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1050,1,242,0,0,0,0,2,5,2,5,4,15,13,20,23,26,32,25,33,15,22,0,0,0
MEX,2015,1050,2,506,0,1,2,3,0,5,4,4,15,23,24,35,64,55,75,61,54,45,36,0,0,0
MEX,2015,1080,1,16150,61,18,12,35,48,81,104,142,242,408,542,734,897,1219,1471,1862,2210,2467,3577,0,0,20
MEX,2015,1090,1,939,55,12,10,7,15,29,26,32,55,56,67,83,82,63,76,70,77,55,66,0,0,3
MEX,2007,910,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1090,2,664,31,15,7,8,8,11,13,15,18,22,37,45,40,56,70,41,55,76,96,0,0,0
MEX,2013,880,2,518,0,0,0,0,0,0,0,1,1,4,3,12,8,15,33,66,87,129,159,0,0,0
MEX,2015,1110,2,15973,173,71,24,21,49,59,59,62,84,158,217,319,511,680,1014,1532,2175,2823,5940,0,0,2
MEX,2015,1120,1,12915,8,6,3,3,8,11,10,13,40,42,82,188,318,565,928,1535,2097,2529,4521,0,0,8
MEX,2003,310,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1120,2,11144,3,5,2,3,6,5,12,6,18,38,56,138,254,369,645,1045,1621,2227,4690,0,0,1
MEX,2015,1150,1,38438,243,121,48,58,119,225,448,987,1747,2552,3169,3864,4235,3923,3672,3491,3425,2841,3106,0,0,164
MEX,2015,1150,9,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4
MEX,2015,1181,2,448,1,0,0,0,1,2,1,1,3,2,3,5,19,27,21,32,61,78,191,0,0,0
MEX,2015,1184,1,1233,11,0,0,1,6,4,5,12,20,24,41,62,81,102,111,154,187,162,248,0,0,2
MEX,2015,1190,1,12766,185,82,25,37,66,79,126,213,406,610,748,1043,1193,1222,1286,1307,1404,1204,1494,0,0,36
MEX,2015,1190,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2016,520,2,2334,2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2009,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2002,450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2004,450,2,365,0,0,0,2,31,82,81,83,58,27,1,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2015,1220,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,1150,9,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
